Name,Category,Glass,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Directions,isAlcoholic,Video
Victory Collins,Ordinary Drink,Collins glass,"('Vodka', '1 1/2 oz ')","('Lemon juice', '3 oz ')","('Grape juice', '3 oz unsweetened ')","('Powdered sugar', '1 tsp ')","('Orange', '1 slice ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.,True,
Vodka And Tonic,Ordinary Drink,Highball glass,"('Vodka', '2 oz ')","('Tonic water', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",True,
Valencia Cocktail,Ordinary Drink,Cocktail glass,"('Apricot brandy', '1 1/2 oz ')","('Orange juice', '1 tblsp ')","('Orange bitters', '2 dashes ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake all ingredients with ice, strain into a cocktail glass, and serve.",True,
Whisky Mac,Ordinary Drink,Collins Glass,"('Scotch', '1 1/2 oz ')","('Wine', '1 oz Green Ginger ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Pour both of the ingredients into a wine goblet with no ice.,True,
Wine Punch,Punch / Party Drink,Collins Glass,"('Red wine', '1 bottle ')","('Lemon', '2 ')","('Orange juice', '1 cup ')","('Orange', '3 ')","('Pineapple juice', '1 cup ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Combine all of the ingredients and pour over a block of ice.,True,
White Lady,Ordinary Drink,Cocktail glass,"('Gin', '4cl')","('Triple Sec', '3cl')","('Lemon Juice', '2cl')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,True,
Wine Cooler,Punch / Party Drink,Collins Glass,"('Red wine', '2 oz white or ')","('Lemon-lime soda', '5 oz ')","('Ice', ' cubes\n')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Mix wine and soft drink. Pour into glass. Add ice.,False,
Whiskey Sour,Ordinary Drink,Old-fashioned glass,"('Blended whiskey', '2 oz ')","('Lemon', 'Juice of 1/2 ')","('Powdered sugar', '1/2 tsp ')","('Cherry', '1 ')","('Lemon', '1/2 slice ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",True,
White Russian,Ordinary Drink,Old-fashioned glass,"('Vodka', '2 oz ')","('Coffee liqueur', '1 oz ')","('Light cream', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.,True,
Whitecap Margarita,Other/Unknown,Margarita/Coupette glass,"('Ice', '1 cup ')","('Tequila', '2 oz ')","('Cream of coconut', '1/4 cup ')","('Lime juice', '3 tblsp fresh ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Place all ingredients in a blender and blend until smooth. This makes one drink.,True,
Waikiki Beachcomber,Ordinary Drink,Cocktail glass,"('Triple sec', '3/4 oz ')","('Gin', '3/4 oz ')","('Pineapple juice', '1 tblsp ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake all ingredients with ice, strain into a cocktail glass, and serve.",True,
Yellow Bird,Cocktail,Cocktail glass,"('White Rum', '3 cl')","('Galliano', '1.5 cl')","('Triple Sec', '1.5 cl')","('Lime Juice', '1.5 cl')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Shake and strain into a chilled cocktail glass,True,
Yoghurt Cooler,Other/Unknown,Highball Glass,"('Yoghurt', '1 cup ')","('Fruit', '1 cup ')","('Ice', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up. Note: Use lots of ice in this one - great on hot days! To add ice: Remove the center of the cover while the blender is on - drop 3 or 4 ice cubs and blend until they're completely crushed.",False,
